name_x,abv,ibu,id,style,brewery_id,ounces,name_y,city,state,region
Wagon Party,0.054,55,1966,California Common / Steam Beer,258,12,Bauhaus Brew Labs,Minneapolis,MN,midwest
Sky-Five,0.067,70,1965,American IPA,258,12,Bauhaus Brew Labs,Minneapolis,MN,midwest
Stargrazer,0.05,28,1964,Schwarzbier,258,12,Bauhaus Brew Labs,Minneapolis,MN,midwest
Wonderstuff,0.054,48,1963,German Pilsener,258,12,Bauhaus Brew Labs,Minneapolis,MN,midwest
On the Count of 3 (2015),0.07,42,1778,Hefeweizen,292,16,Baxter Brewing Company,Lewiston,ME,northeast
Amber Road,0.055,35,533,American Amber / Red Ale,292,12,Baxter Brewing Company,Lewiston,ME,northeast
Pamola Xtra Pale Ale,0.049,28,183,American Pale Ale (APA),292,12,Baxter Brewing Company,Lewiston,ME,northeast
Stowaway IPA,0.069,69,182,American IPA,292,12,Baxter Brewing Company,Lewiston,ME,northeast
Hoptopus Double IPA,0.088,108,1806,American Double / Imperial IPA,306,16,Beach Brewing Company,Virginia Beach,VA,south
Watermelon Ale,0.05,10,2435,Fruit / Vegetable Beer,103,12,Beer Works Brewery,Lowell,MA,northeast
Fenway American Pale Ale,0.058,45,2423,American Pale Ale (APA),103,12,Beer Works Brewery,Lowell,MA,northeast
Back Bay IPA,0.068,85,2420,American IPA,103,12,Beer Works Brewery,Lowell,MA,northeast
Bunker Hill Blueberry Ale ,0.048,16,2419,Other,103,12,Beer Works Brewery,Lowell,MA,northeast
Moar,0.044,44,2558,English India Pale Ale (IPA),53,12,Bent Brewstillery,Roseville,MN,midwest
Nordic Blonde,0.057,27,2556,American Blonde Ale,53,12,Bent Brewstillery,Roseville,MN,midwest
Harness the Winter,0.072,87,2410,American IPA,75,12,Bent Paddle Brewing Company,Duluth,MN,midwest
14° ESB ,0.056,32,1902,Extra Special / Strong Bitter (ESB),75,12,Bent Paddle Brewing Company,Duluth,MN,midwest
Bent Hop Golden IPA,0.062,68,1901,American IPA,75,12,Bent Paddle Brewing Company,Duluth,MN,midwest
Bent Paddle Black Ale,0.06,34,1261,American Black Ale,75,12,Bent Paddle Brewing Company,Duluth,MN,midwest
Venture Pils,0.05,38,1253,German Pilsener,75,12,Bent Paddle Brewing Company,Duluth,MN,midwest
Lost Sailor IPA,0.055,40,1900,English India Pale Ale (IPA),278,12,Berkshire Brewing Company,South Deerfield,MA,northeast
Steel Rail Extra Pale Ale,0.053,20,1317,American Pale Ale (APA),278,12,Berkshire Brewing Company,South Deerfield,MA,northeast
Aprè Shred,0.081,17,2104,American Strong Ale,220,16,Big Choice Brewing,Broomfield,CO,west
Hemlock Double IPA,0.095,104,1762,American Double / Imperial IPA,220,12,Big Choice Brewing,Broomfield,CO,west
Disconnected Red,0.067,85,1067,American Amber / Red Ale,220,16,Big Choice Brewing,Broomfield,CO,west
Dark Star,0.08,54,2639,American Stout,8,16,Big Lake Brewing,Holland,MI,midwest
Galaxy IPA,0.075,60,2585,American IPA,40,16,Big Muddy Brewing,Murphysboro,IL,south
Big River Pilsner,0.05,32,643,Czech Pilsener,519,12,Big River Brewing Company,Chattanooga,TN,south
