,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
67,117,0.056,4.0,77,Summer Solstice (2011),Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
68,118,0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
69,128,0.071,75.0,2511,Long Leaf,American IPA,69,16.0,Appalachian Mountain Brewery,Boone,NC,south
70,129,0.047,19.0,2510,Honey Badger Blonde,American Blonde Ale,69,16.0,Appalachian Mountain Brewery,Boone,NC,south
71,130,0.06,23.0,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.0,Appalachian Mountain Brewery,Boone,NC,south
72,131,0.06,55.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,Arcadia Brewing Company,Battle Creek,MI,midwest
73,132,0.062,17.0,390,Whitsun,American Pale Wheat Ale,541,12.0,Arcadia Brewing Company,Battle Creek,MI,midwest
74,134,0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,Armadillo Ale Works,Denton,TX,south
75,135,0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,Armadillo Ale Works,Denton,TX,south
76,136,0.052000000000000005,10.0,1172,Mo's Gose,Gose,461,16.0,Armstrong Brewing Company,South San Francisco,CA,west
77,137,0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,Asher Brewing Company,Boulder,CO,west
78,138,0.032,27.0,550,Rocket Girl,Kölsch,528,12.0,Asheville Brewing Company,Asheville,NC,south
79,139,0.053,26.0,429,Ninja Porter,American Porter,528,12.0,Asheville Brewing Company,Asheville,NC,south
80,140,0.06,69.0,428,Shiva IPA,American IPA,528,12.0,Asheville Brewing Company,Asheville,NC,south
81,144,0.056,27.0,597,This Season's Blonde,American Blonde Ale,523,12.0,Aspen Brewing Company,Aspen,CO,west
82,145,0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0,Aspen Brewing Company,Aspen,CO,west
83,146,0.057,40.0,1580,Trolley Stop Stout,American Stout,374,12.0,Astoria Brewing Company,Astoria,OR,west
84,147,0.08199999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,Astoria Brewing Company,Astoria,OR,west
85,148,0.062,35.0,979,Poop Deck Porter,American Porter,374,12.0,Astoria Brewing Company,Astoria,OR,west
86,149,0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,Astoria Brewing Company,Astoria,OR,west
87,150,0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,Atwater Brewery,Detroit,MI,midwest
88,151,0.055,12.0,2502,Vanilla Java Porter,American Porter,72,16.0,Atwater Brewery,Detroit,MI,midwest
89,153,0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,Atwater Brewery,Detroit,MI,midwest
90,154,0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0,Atwater Brewery,Detroit,MI,midwest
91,155,0.05,12.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,Atwater Brewery,Detroit,MI,midwest
92,163,0.047,42.0,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.0,Avery Brewing Company,Boulder,CO,west
93,164,0.056,10.0,108,White Rascal,Witbier,37,12.0,Avery Brewing Company,Boulder,CO,west
94,165,0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0,Avery Brewing Company,Boulder,CO,west
95,166,0.055,17.0,106,Ellie’s Brown Ale,American Brown Ale,37,12.0,Avery Brewing Company,Boulder,CO,west
96,167,0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,Aviator Brewing Company,Fuquay-Varina,NC,south
